Case ID,Start Timestamp,Complete Timestamp,Activity
1,02/23/23 11:50 PM,02/23/23 11:50 PM,A
1,02/24/23 11:50 PM,02/24/23 11:50 PM,B
1,02/25/23 11:50 PM,02/25/23 11:50 PM,D
2,02/26/23 11:50 PM,02/26/23 11:50 PM,A
2,02/27/23 11:50 PM,02/27/23 11:50 PM,C
2,02/28/23 11:50 PM,02/28/23 11:50 PM,B
2,03/01/23 11:50 PM,03/01/23 11:50 PM,D
3,03/02/23 11:50 PM,03/02/23 11:50 PM,A
3,03/03/23 11:50 PM,03/03/23 11:50 PM,B
3,03/04/23 11:50 PM,03/04/23 11:50 PM,C
3,03/05/23 11:50 PM,03/05/23 11:50 PM,D
4,03/06/23 11:50 PM,03/06/23 11:50 PM,A
4,03/07/23 11:50 PM,03/07/23 11:50 PM,C
4,03/08/23 11:50 PM,03/08/23 11:50 PM,D
5,03/09/23 11:50 PM,03/09/23 11:50 PM,A
5,03/10/23 11:50 PM,03/10/23 11:50 PM,B
5,03/11/23 11:50 PM,03/11/23 11:50 PM,C
5,03/12/23 11:50 PM,03/12/23 11:50 PM,D
5,03/13/23 11:50 PM,03/13/23 11:50 PM,A
5,03/14/23 11:50 PM,03/14/23 11:50 PM,B
5,03/15/23 11:50 PM,03/15/23 11:50 PM,C
5,03/16/23 11:50 PM,03/16/23 11:50 PM,D
